sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21643,2016,4,4,-22,-22,-24,-23,-18,-18,-22,-21,-19,-16,-16,-13,-11,-13,-15,-16,-15,-12,-9,-10,-16,-19,-15,-13,-17,-24,-9,DST1604*04,RRX020
21644,2016,4,5,-12,-12,-13,-12,-11,-13,-12,-10,-7,-5,-9,-11,-10,-8,-10,-11,-13,-14,-14,-17,-14,-15,-11,-10,-11,-17,-5,DST1604*05,RRX020
21645,2016,4,6,-7,-8,-7,-8,-10,-8,-5,-6,-5,-9,-11,-7,-1,-3,-6,-8,-8,-11,-13,-15,-18,-20,-21,-20,-10,-21,-1,DST1604*06,RRX020
21646,2016,4,7,-14,-11,-9,-1,1,3,5,6,2,4,8,12,17,18,17,17,16,16,4,-25,-53,-60,-56,-58,-6,-60,18,DST1604*07,RRX020
21647,2016,4,8,-60,-56,-44,-38,-30,-34,-29,-22,-18,-19,-18,-17,-15,-11,-12,-13,-14,-16,-16,-17,-17,-18,-19,-19,-24,-60,-11,DST1604*08,RRX020
21648,2016,4,9,-18,-15,-13,-9,-6,-4,-4,-5,-4,-2,-1,-2,-2,-3,-4,-3,-3,-4,-3,-2,1,1,0,-2,-4,-18,1,DST1604*09,RRX020
21649,2016,4,10,-2,-3,-3,-2,-3,-3,-9,-11,-10,-2,6,13,16,14,6,6,8,8,5,0,0,-1,-8,-7,1,-11,16,DST1604*10,RRX020
21650,2016,4,11,-5,-3,-3,-2,-1,0,5,11,11,10,4,5,7,7,7,5,3,9,5,1,0,5,2,-3,3,-5,11,DST1604*11,RRX020
21651,2016,4,12,-1,-4,-10,-13,-6,-4,1,3,3,4,-2,-5,-8,-13,-10,-7,-4,-7,-10,-6,-8,-18,-32,-41,-8,-41,4,DST1604*12,RRX020
21652,2016,4,13,-45,-54,-54,-50,-54,-55,-50,-42,-39,-29,-25,-26,-29,-28,-31,-34,-34,-30,-29,-39,-34,-30,-28,-33,-38,-55,-25,DST1604*13,RRX020
21653,2016,4,14,-32,-34,-31,-27,-28,-28,-26,-19,-12,-15,-26,-36,-30,-33,-42,-46,-46,-48,-48,-55,-59,-56,-48,-42,-36,-59,-12,DST1604*14,RRX020
21654,2016,4,15,-40,-43,-35,-29,-28,-26,-22,-21,-19,-15,-16,-13,-9,-3,2,4,3,0,-1,3,2,-3,-4,-4,-13,-43,4,DST1604*15,RRX020
21655,2016,4,16,-3,-5,-7,-9,-9,-8,-8,-9,-14,-18,-17,-14,-6,-3,-6,-10,-13,-13,-22,-35,-53,-55,-52,-43,-18,-55,-3,DST1604*16,RRX020
21656,2016,4,17,-37,-32,-17,-21,-28,-28,-29,-27,-25,-23,-25,-24,-18,-8,-11,-15,-16,-14,-14,-8,-11,-13,-4,1,-19,-37,1,DST1604*17,RRX020
21657,2016,4,18,4,0,-10,-10,-8,-7,-8,-3,2,1,-3,-6,-7,-6,-6,-6,-6,-7,-9,-12,-12,-11,-10,-8,-6,-12,4,DST1604*18,RRX020
21658,2016,4,19,-7,-7,-7,-9,-11,-10,-9,-5,-2,1,-1,-3,-4,-3,-1,1,1,2,3,3,2,0,2,4,-3,-11,4,DST1604*19,RRX020
21659,2016,4,20,4,5,3,2,1,-1,0,-3,-7,-10,-9,-6,-5,-3,-4,-7,-6,-5,-5,-6,-8,-7,-4,-2,-3,-10,5,DST1604*20,RRX020
21660,2016,4,21,-1,-2,-2,-3,-2,1,7,10,14,17,7,6,9,10,13,12,14,12,8,6,4,6,9,8,7,-3,17,DST1604*21,RRX020
21661,2016,4,22,8,1,-1,0,1,3,2,7,11,13,12,14,22,22,9,8,3,5,3,1,-2,-12,-11,-9,5,-12,22,DST1604*22,RRX020
21662,2016,4,23,-9,-10,-8,-11,-9,-2,5,7,10,11,11,6,6,2,1,8,12,16,14,1,-2,-12,-12,-7,1,-12,16,DST1604*23,RRX020
21663,2016,4,24,-2,1,2,-2,-4,-5,-6,-2,2,4,4,0,2,3,-4,-6,-13,-10,-6,-12,-11,-12,-9,-6,-4,-13,4,DST1604*24,RRX020
21664,2016,4,25,-5,-4,-1,0,-1,-3,-3,-2,-2,0,-1,1,4,7,4,0,1,3,2,1,-2,-4,-4,-4,-1,-5,7,DST1604*25,RRX020
21665,2016,4,26,-4,-3,-1,-2,-2,-1,2,4,6,4,1,-2,3,3,1,4,5,5,4,3,-5,-11,-4,1,0,-11,6,DST1604*26,RRX020
21666,2016,4,27,4,5,6,2,-2,-2,-3,-4,-2,1,2,0,0,3,1,1,2,5,6,0,-8,-15,-15,-9,-1,-15,6,DST1604*27,RRX020
21667,2016,4,28,-3,-2,-1,0,3,3,1,0,-2,-5,-4,-5,-1,1,4,5,6,6,3,-1,-2,-1,0,-1,0,-5,6,DST1604*28,RRX020
21668,2016,4,29,-1,-2,0,3,5,4,6,8,9,8,7,8,10,11,13,14,14,15,18,19,17,13,11,10,9,-2,19,DST1604*29,RRX020
21669,2016,4,30,11,13,15,17,18,20,21,25,19,15,12,7,6,5,6,6,5,3,-3,-9,-11,-10,-12,-7,7,-12,25,DST1604*30,RRX020
21670,2016,5,1,9,11,9,7,7,5,10,6,8,12,14,14,13,8,3,-1,-5,-3,-7,-22,-28,-19,-14,-22,1,-28,14,DST1605*01,RRX020
21671,2016,5,2,-24,-21,-25,-33,-23,-22,-24,-22,-22,-22,-19,-15,-11,-10,-10,-6,-14,-25,-27,-22,-23,-24,-21,-27,-21,-33,-6,DST1605*02,RRX020
21672,2016,5,3,-25,-26,-29,-29,-26,-23,-25,-25,-20,-12,-10,-9,-7,-6,-4,-5,-9,-8,-6,-5,-5,-4,-4,-4,-14,-29,-4,DST1605*03,RRX020
21673,2016,5,4,-4,-4,-5,-7,-7,-6,-5,-4,-3,-3,-4,-3,-3,-5,-8,-8,-7,-7,-6,-5,-5,-6,-6,-2,-5,-8,-2,DST1605*04,RRX020
21674,2016,5,5,2,6,9,10,6,4,3,2,2,-4,-10,-9,-4,-4,-6,-7,-4,-6,-2,1,1,1,1,1,0,-10,10,DST1605*05,RRX020
21675,2016,5,6,-1,2,2,4,4,2,1,-2,-2,-2,-1,-3,6,2,-3,-3,-3,-6,-18,-22,-23,-20,-22,-19,-5,-23,6,DST1605*06,RRX020
21676,2016,5,7,-21,-18,-11,-7,-4,-6,-3,-3,-5,-5,-3,-3,-7,-3,-5,-4,-10,-9,-5,0,0,-2,0,6,-5,-21,6,DST1605*07,RRX020
21677,2016,5,8,8,9,-13,-29,-41,-50,-57,-82,-83,-70,-67,-70,-62,-46,-33,-45,-67,-63,-61,-68,-75,-74,-62,-64,-53,-83,9,DST1605*08,RRX020
21678,2016,5,9,-77,-63,-52,-52,-53,-47,-42,-40,-41,-42,-39,-37,-32,-27,-26,-27,-30,-30,-32,-32,-39,-45,-44,-37,-41,-77,-26,DST1605*09,RRX020
21679,2016,5,10,-32,-31,-29,-28,-28,-27,-34,-36,-34,-33,-27,-26,-23,-25,-27,-27,-23,-19,-18,-18,-20,-20,-21,-22,-26,-36,-18,DST1605*10,RRX020
21680,2016,5,11,-24,-23,-24,-22,-18,-16,-15,-14,-13,-12,-13,-16,-17,-16,-24,-17,-18,-18,-19,-19,-18,-16,-17,-20,-18,-24,-12,DST1605*11,RRX020
21681,2016,5,12,-18,-17,-18,-16,-13,-12,-12,-13,-13,-12,-9,-11,-14,-17,-17,-13,-12,-12,-11,-11,-9,-8,-10,-12,-13,-18,-8,DST1605*12,RRX020
21682,2016,5,13,-13,-14,-16,-15,-11,-9,-8,-13,-12,-11,-12,-12,-14,-14,-16,-16,-18,-21,-24,-23,-23,-18,-15,-11,-15,-24,-8,DST1605*13,RRX020
21683,2016,5,14,-15,-18,-21,-22,-21,-21,-18,-8,-1,-7,-5,3,4,0,1,1,1,-2,-8,-6,-5,-6,-3,-16,-8,-22,4,DST1605*14,RRX020
21684,2016,5,15,-23,-21,-18,-14,-11,-10,-12,-10,-4,1,7,12,9,-2,-12,-12,-7,-7,-12,-17,-12,-9,-8,-7,-8,-23,12,DST1605*15,RRX020
21685,2016,5,16,-6,-5,-11,-13,-9,-11,-8,-11,-6,-3,-6,-6,-8,-12,-11,-11,-15,-23,-19,-16,-12,-11,-13,-14,-11,-23,-3,DST1605*16,RRX020
21686,2016,5,17,-15,-12,-7,-4,1,5,3,-1,0,1,-3,2,1,2,1,2,1,-4,-7,-8,-11,-17,-16,-13,-4,-17,5,DST1605*17,RRX020
21687,2016,5,18,-9,-6,-8,-9,-11,-17,-17,-13,-15,-12,-5,-2,-1,1,6,5,2,0,-1,-1,0,0,0,0,-5,-17,6,DST1605*18,RRX020
21688,2016,5,19,-1,2,3,3,5,5,3,5,2,-3,-4,-6,-9,-7,-5,-3,2,-3,-8,-8,-5,-3,0,4,-1,-9,5,DST1605*19,RRX020
21689,2016,5,20,8,1,1,1,3,4,1,2,3,3,4,6,6,9,5,4,3,1,1,8,11,11,13,14,5,1,14,DST1605*20,RRX020
21690,2016,5,21,16,21,20,14,10,12,-1,-14,-21,-19,-12,-8,-6,-6,-6,-10,-9,-6,-12,-11,-14,-14,-13,-9,-4,-21,21,DST1605*21,RRX020
